,Unnamed: 0,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Brand
128,128,Honda CR-V,Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354,152.0,5,5.25,Honda
129,129,Volkswagen Vento,Pune,2015,55000,Diesel,Automatic,First,21.21,1498,103.2,5,7.25,Volkswagen
130,130,Maruti Ciaz,Kochi,2017,44285,Petrol,Manual,First,20.73,1373,91.1,5,7.47,Maruti
131,131,Mahindra XUV500,Jaipur,2016,54000,Diesel,Automatic,First,16.0,2179,140.0,7,13.25,Mahindra
132,132,Maruti Ritz,Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197,85.8,5,5.81,Maruti
133,133,Maruti Alto,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998,67.1,5,2.6,Maruti
134,134,Mercedes-Benz SLC,Kolkata,2017,13372,Petrol,Automatic,First,19.0,2996,362.07,2,54.0,Mercedes-Benz
135,135,Hyundai Verna,Kochi,2019,12645,Petrol,Automatic,First,17.0,1591,121.3,5,11.5,Hyundai
136,136,Maruti Alto,Chennai,2010,94385,Petrol,Manual,Second,19.7,796,46.3,5,1.6,Maruti
137,137,BMW 1,Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995,143.0,5,17.22,BMW
138,138,Honda Jazz,Mumbai,2015,12000,Petrol,Automatic,First,19.0,1199,88.7,5,6.0,Honda
139,139,Honda Civic,Delhi,2012,88578,Petrol,Manual,First,13.5,1799,130.0,5,3.95,Honda
140,140,Mercedes-Benz New,Kochi,2014,44965,Diesel,Automatic,First,19.27,2143,170.0,5,17.95,Mercedes-Benz
141,141,Honda Amaze,Kolkata,2014,45044,Diesel,Manual,First,25.8,1498,98.6,5,3.7,Honda
142,142,Maruti Swift,Kochi,2016,34204,Petrol,Manual,First,22.0,1197,81.8,5,5.43,Maruti
144,144,Toyota Fortuner,Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982,171.0,7,13.49,Toyota
145,145,Chevrolet Beat,Pune,2014,38800,Petrol,Manual,First,18.6,1199,76.8,5,2.85,Chevrolet
146,146,Skoda Rapid,Chennai,2013,83000,Diesel,Manual,First,21.14,1498,103.52,5,4.75,Skoda
147,147,Maruti Ciaz,Kochi,2018,41283,Petrol,Manual,First,20.73,1373,91.1,5,9.9,Maruti
148,148,Audi RS5,Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894,444.0,4,37.0,Audi
149,149,BMW 3,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995,190.0,5,26.5,BMW
150,150,Audi A4,Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968,174.33,5,23.32,Audi
151,151,Maruti Swift,Chennai,2016,35000,Diesel,Manual,First,22.9,1248,74.0,5,6.25,Maruti
152,152,Mercedes-Benz S,Kolkata,2010,35277,Petrol,Automatic,First,7.81,5461,362.9,5,30.0,Mercedes-Benz
153,153,Skoda Rapid,Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498,103.52,5,9.86,Skoda
154,154,Skoda Superb,Pune,2012,136997,Diesel,Automatic,First,17.2,1968,138.1,5,8.5,Skoda
155,155,Hyundai EON,Kochi,2019,14322,Petrol,Manual,First,21.1,814,55.2,5,4.23,Hyundai
156,156,Volkswagen Polo,Jaipur,2012,65634,Diesel,Manual,First,22.07,1199,73.9,5,3.5,Volkswagen
157,157,Datsun GO,Kolkata,2016,6000,Petrol,Manual,First,20.63,1198,67.06,5,2.5,Datsun
158,158,Honda Brio,Kolkata,2013,33280,Petrol,Manual,First,19.4,1198,86.8,5,2.39,Honda
159,159,Mercedes-Benz B,Delhi,2013,29000,Petrol,Automatic,First,14.8,1595,120.7,5,11.25,Mercedes-Benz
160,160,Honda City,Kochi,2015,42831,Diesel,Manual,First,26.0,1498,98.6,5,7.11,Honda
161,161,Toyota Innova,Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494,100.6,7,10.9,Toyota
162,162,Maruti Swift,Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197,81.8,5,6.2,Maruti
163,163,Mahindra XUV500,Mumbai,2012,32792,Diesel,Manual,First,15.1,2179,140.0,7,7.9,Mahindra
164,164,Ford Ecosport,Kochi,2014,147898,Diesel,Manual,First,22.7,1498,89.84,5,4.42,Ford
165,165,Toyota Fortuner,Mumbai,2012,131765,Diesel,Manual,First,13.0,2982,168.5,7,13.5,Toyota
166,166,Volkswagen Vento,Chennai,2013,65000,Diesel,Automatic,First,21.5,1498,108.5,5,6.25,Volkswagen
167,167,Ford Figo,Jaipur,2010,66123,Diesel,Manual,Second,20.0,1399,68.0,5,2.1,Ford
168,168,BMW X5,Mumbai,2015,41000,Diesel,Automatic,First,15.3,2993,258.0,5,45.0,BMW
169,169,Mercedes-Benz New,Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2143,167.62,5,33.66,Mercedes-Benz
170,170,Honda Brio,Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198,86.8,5,3.65,Honda
171,171,Hyundai i10,Delhi,2013,60000,Petrol,Manual,First,20.36,1197,78.9,5,2.75,Hyundai
172,172,Mercedes-Benz GLC,Bangalore,2016,44414,Diesel,Automatic,First,17.9,2143,170.0,5,42.5,Mercedes-Benz
173,173,Hyundai Grand,Kolkata,2019,1000,Petrol,Manual,First,18.9,1197,81.86,5,6.5,Hyundai
174,174,Audi A6,Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968,174.33,5,19.0,Audi
175,175,Volkswagen Vento,Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1598,103.6,5,4.45,Volkswagen
176,176,Mini Countryman,Jaipur,2017,8525,Diesel,Automatic,Second,16.6,1998,112.0,5,23.0,Mini
177,177,Hyundai i20,Bangalore,2014,29000,Diesel,Manual,First,22.54,1396,88.73,5,8.35,Hyundai
178,178,Audi A6,Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968,174.33,5,22.95,Audi
179,179,Chevrolet Beat,Jaipur,2012,88000,Diesel,Manual,First,25.44,936,57.6,5,1.5,Chevrolet
180,180,Skoda Superb,Kochi,2012,53537,Petrol,Automatic,First,13.7,1798,157.75,5,6.89,Skoda
181,181,Ford Fiesta,Chennai,2006,216000,Diesel,Manual,Second,17.8,1399,68.0,5,1.45,Ford
182,182,BMW 5,Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995,190.0,5,33.5,BMW
183,183,Chevrolet Optra,Jaipur,2007,118500,Petrol,Manual,First,12.9,1598,102.5,5,1.25,Chevrolet
184,184,Volkswagen Polo,Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199,73.9,5,4.2,Volkswagen
185,185,Renault Lodgy,Mumbai,2015,25000,Diesel,Manual,First,19.98,1461,108.5,8,6.75,Renault
186,186,Mercedes-Benz E-Class,Bangalore,2014,37382,Diesel,Automatic,First,13.0,2143,201.1,5,32.0,Mercedes-Benz
187,187,Maruti Baleno,Kochi,2017,24773,Petrol,Manual,First,21.4,1197,83.1,5,7.5,Maruti
188,188,Hyundai Verna,Delhi,2012,62000,Diesel,Manual,First,22.32,1582,126.32,5,4.6,Hyundai
189,189,Hyundai i10,Kochi,2017,52340,Petrol,Manual,First,19.81,1086,68.05,5,4.04,Hyundai
190,190,Mahindra Scorpio,Kochi,2016,56739,Diesel,Manual,First,15.4,1997,120.0,7,10.31,Mahindra
191,191,Land Rover,Coimbatore,2018,36091,Diesel,Automatic,First,12.7,2179,187.7,5,55.76,Land
192,192,Ford Figo,Chennai,2010,120000,Diesel,Manual,First,20.0,1399,68.0,5,2.6,Ford
193,193,Maruti Ertiga,Mumbai,2016,33000,Diesel,Manual,First,25.47,1248,88.5,7,8.5,Maruti
194,194,Honda City,Ahmedabad,2007,60006,Petrol,Manual,First,0.0,1197,74.0,5,2.95,Honda
195,195,Honda Amaze,Kolkata,2014,52000,Diesel,Manual,First,25.8,1498,98.6,5,3.5,Honda
196,196,Hyundai i10,Jaipur,2015,43571,Petrol,Manual,First,20.36,1197,78.9,5,3.55,Hyundai
197,197,Honda Amaze,Kolkata,2013,50000,Diesel,Manual,First,25.8,1498,98.6,5,3.25,Honda
198,198,Skoda Laura,Hyderabad,2008,113000,Diesel,Manual,First,17.5,1896,106.0,5,4.5,Skoda
199,199,Renault Duster,Delhi,2014,90000,Diesel,Manual,First,19.87,1461,83.8,5,5.35,Renault
200,200,Mahindra NuvoSport,Chennai,2017,29000,Diesel,Manual,Second,17.45,1493,100.0,7,6.5,Mahindra
201,201,Maruti Vitara,Mumbai,2016,20000,Diesel,Manual,First,24.3,1248,88.5,5,9.0,Maruti
202,202,Hyundai i20,Kochi,2016,61012,Petrol,Manual,First,18.6,1197,81.83,5,6.0,Hyundai
203,203,Skoda Fabia,Jaipur,2009,87459,Petrol,Manual,First,14.7,1390,85.0,5,2.75,Skoda
204,204,Tata Indigo,Pune,2010,70500,Petrol,Manual,First,15.64,1193,64.1,5,1.5,Tata
205,205,Audi Q3,Delhi,2015,64103,Diesel,Automatic,First,15.73,1968,174.33,5,19.9,Audi
206,206,Skoda Octavia,Mumbai,2014,76000,Petrol,Automatic,First,14.7,1798,177.5,5,10.0,Skoda
207,207,Toyota Etios,Delhi,2014,104000,Diesel,Manual,First,23.59,1364,67.06,5,3.0,Toyota
208,208,Maruti Swift,Kolkata,2010,42001,Petrol,Manual,First,16.1,1197,74.0,5,2.11,Maruti
209,209,Mercedes-Benz B,Kochi,2014,37245,Petrol,Automatic,First,14.8,1595,120.7,5,11.96,Mercedes-Benz
210,210,Honda Amaze,Kolkata,2013,45000,Diesel,Manual,First,27.4,1498,98.6,5,3.25,Honda
211,211,Hyundai Verna,Jaipur,2012,117837,Diesel,Manual,Second,22.32,1582,126.32,5,4.75,Hyundai
212,212,Renault Duster,Mumbai,2014,30000,Diesel,Manual,First,20.46,1461,83.8,5,5.95,Renault
213,213,Hyundai Creta,Delhi,2015,27057,Petrol,Manual,Second,15.29,1591,121.3,5,8.15,Hyundai
214,214,Maruti Wagon,Mumbai,2016,8500,Petrol,Automatic,First,20.51,998,67.0,5,4.22,Maruti
215,215,Mercedes-Benz New,Kolkata,2010,30500,Petrol,Automatic,First,11.74,1796,186.0,5,10.5,Mercedes-Benz
216,216,Audi A8,Delhi,2012,56000,Diesel,Automatic,First,11.8,2967,246.7,5,45.0,Audi
217,217,Hyundai i10,Pune,2012,44000,Petrol,Manual,Second,19.81,1086,68.05,5,2.9,Hyundai
218,218,Skoda Rapid,Mumbai,2017,10500,Petrol,Automatic,First,14.3,1598,103.52,5,8.9,Skoda
219,219,Skoda Superb,Hyderabad,2017,26000,Petrol,Automatic,First,14.67,1798,177.46,5,26.0,Skoda
220,220,Hyundai i20,Coimbatore,2018,25166,Petrol,Manual,First,17.19,1197,81.86,5,8.22,Hyundai
221,221,Honda Amaze,Kolkata,2014,64000,Diesel,Manual,Second,25.8,1498,98.6,5,3.5,Honda
222,222,Maruti Wagon,Chennai,2004,61000,Petrol,Manual,Second,18.9,998,67.1,5,1.25,Maruti
223,223,Mahindra Verito,Hyderabad,2013,107000,Diesel,Manual,First,21.03,1461,65.0,5,3.7,Mahindra
224,224,Mercedes-Benz New,Coimbatore,2018,29161,Diesel,Automatic,First,19.27,2143,167.62,5,39.41,Mercedes-Benz
225,225,Maruti Wagon,Kolkata,2013,32000,Petrol,Manual,First,22.5,998,67.04,5,2.65,Maruti
226,226,Nissan Terrano,Coimbatore,2015,46173,Diesel,Manual,Second,19.01,1461,108.5,5,8.92,Nissan
228,228,Mini Cooper,Kochi,2017,26327,Petrol,Automatic,First,16.82,1998,189.08,4,35.67,Mini
229,229,Ford Figo,Bangalore,2015,70436,Diesel,Manual,First,0.0,1498,99.0,5,3.6,Ford
230,230,Tata Indica,Jaipur,2007,200000,Diesel,Manual,Second,17.2,1396,53.5,5,0.85,Tata
231,231,Chevrolet Beat,Kochi,2016,60813,Petrol,Manual,Second,18.6,1199,76.8,5,3.32,Chevrolet
232,232,Volkswagen Polo,Mumbai,2012,45000,Diesel,Manual,First,22.07,1199,73.9,5,3.6,Volkswagen
233,233,Maruti Swift,Hyderabad,2016,64000,Diesel,Manual,First,22.9,1248,74.0,5,6.8,Maruti
234,234,Ford Figo,Kolkata,2012,41284,Diesel,Manual,First,20.0,1399,68.05,5,2.5,Ford
235,235,Toyota Innova,Kochi,2019,14165,Diesel,Automatic,First,11.36,2755,171.5,7,19.64,Toyota
236,236,Hyundai Santa,Mumbai,2011,67000,Diesel,Automatic,Second,11.72,2199,194.3,7,7.0,Hyundai
237,237,Honda City,Kolkata,2011,32572,Petrol,Manual,First,17.4,1497,117.3,5,3.87,Honda
238,238,Hyundai i20,Kochi,2018,14960,Petrol,Manual,First,18.6,1197,81.83,5,6.27,Hyundai
239,239,Mercedes-Benz New,Kochi,2015,55980,Diesel,Automatic,First,19.27,2143,167.62,5,18.12,Mercedes-Benz
240,240,Chevrolet Beat,Mumbai,2013,74000,Diesel,Manual,First,25.44,936,57.6,5,2.65,Chevrolet
241,241,Hyundai i20,Kochi,2015,56847,Diesel,Manual,First,22.54,1396,88.73,5,7.2,Hyundai
242,242,Toyota Innova,Coimbatore,2015,121374,Diesel,Manual,First,12.99,2494,100.6,7,14.3,Toyota
243,243,Maruti Ertiga,Chennai,2013,52000,Diesel,Manual,First,20.77,1248,88.76,7,6.9,Maruti
